from,to,distance
Seoul,Incheon,27
Seoul,Goyang,16
Seoul,Seongnam,20
Seoul,Bucheon,19
Seoul,Uijeongbu,20
Seoul,Gimpo,24
Seoul,Gwangmyeong,14
Seoul,Hanam,20
Seoul,Guri,15
Seoul,Gwacheon,15
Busan,Changwon,36
Busan,Gimhae,18
Busan,Jeju,299
Busan,Yangsan,18
Busan,Geoje,53
Incheon,Goyang,25
Incheon,Bucheon,8
Incheon,Siheung,12
Incheon,Jeju,440
Incheon,Gimpo,18
Daegu,Gumi,36
Daegu,Gyeongsan,13
Daegu,Yeongcheon,33
Daejeon,Cheongju,33
Daejeon,Nonsan,31
Daejeon,Gongju,26
Daejeon,Gyeryong,15
Gwangju,Naju,20
Suwon,Yongin,13
Suwon,Seongnam,20
Suwon,Hwaseong,19
Suwon,Ansan,18
Suwon,Gunpo,13
Suwon,Osan,16
Suwon,Uiwang,10
Ulsan,Yangsan,33
Ulsan,Gyeongju,36
Ulsan,Miryang,51
Yongin,Seongnam,24
Yongin,Hwaseong,31
Yongin,Pyeongtaek,28
Yongin,Gwangju-si,21
Yongin,Icheon,23
Yongin,Anseong,27
Yongin,Uiwang,22
Goyang,Gimpo,11
Goyang,Paju,12
Goyang,Yangju,24
Changwon,Gimhae,18
Changwon,Jinju,52
Changwon,Miryang,27
Seongnam,Gwangju-si,11
Seongnam,Hanam,13
Seongnam,Uiwang,19
Seongnam,Gwacheon,13
Hwaseong,Ansan,14
Hwaseong,Pyeongtaek,34
Hwaseong,Gunpo,20
Hwaseong,Osan,23
Cheongju,Cheonan,38
Cheongju,Sejong,18
Bucheon,Siheung,12
Bucheon,Gwangmyeong,9
Ansan,Anyang,12
Ansan,Siheung,7
Ansan,Gunpo,10
Namyangju,Uijeongbu,19
Namyangju,Chuncheon,53
Namyangju,Hanam,11
Namyangju,Guri,8
Cheonan,Pyeongtaek,20
Cheonan,Sejong,27
Cheonan,Asan,11
Cheonan,Anseong,26
Jeonju,Gimje,24
Gimhae,Yangsan,18
Gimhae,Miryang,33
Pyeongtaek,Asan,25
Pyeongtaek,Osan,18
Pyeongtaek,Anseong,15
Pyeongtaek,Dangjin,44
Anyang,Siheung,14
Anyang,Gwangmyeong,12
Anyang,Gunpo,4
Anyang,Gwacheon,5
Siheung,Gwangmyeong,12
Siheung,Gunpo,12
Pohang,Yeongcheon,37
Pohang,Gyeongju,21
Jeju,Gimpo,458
Jeju,Mokpo,146
Jeju,Seogwipo,27
Uijeongbu,Yangju,10
Uijeongbu,Pocheon ,23
Paju,Yangju,24
Gumi,Gimcheon,21
Gumi,Sangju,36
Gwangju-si,Hanam,14
Gwangju-si,Icheon,23
Gwangju-si,Yeoju,36
Sejong,Gongju,21
Wonju,Chungju,39
Wonju,Jecheon,33
Wonju,Yeoju,26
Jinju,Sacheon,20
Yangsan,Miryang,32
Asan,Gongju,40
Iksan,Gunsan,20
Iksan,Nonsan,29
Iksan,Gimje,18
Chuncheon,Pocheon ,47
Gyeongsan,Yeongcheon,24
Gunpo,Uiwang,4
Suncheon,Yeosu,27
Suncheon,Gwangyang,19
Suncheon,Gwangju,63
Gunsan,Gimje,22
Gyeongju,Yeongcheon,29
Geoje,Tongyeong,17
Osan,Anseong,24
Yangju,Pocheon ,18
Yangju,Dondgucheon,13
Icheon,Anseong,32
Icheon,Yeoju,18
Mokpo,Naju,37
Chungju,Jecheon,28
Chungju,Yeoju,43
Chungju,Mungyeong,51
Gangneung,Donghae,33
Gangneung,Sokcho,56
Seosan,Dangjin,20
Andong,Yeongju,28
Pocheon,Dongducheon,12
Gimcheon,Sangju,30
Tongyeong,Sacheon,38
Nonsan,Gongju,29
Nonsan,Boryeong,47
Nonsan,Gyeryong,17
Gongju,Boryeong,47
Gongju,Gyeryong,22
Jeongeup,Gimje,26
Yeongju,Mungyeong,46
Yeongju,Taebaek,51
Sangju,Mungyeong,20
Sokcho,Samcheok,10
Samcheok,Taebaek,36